epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2027.55,0.65839,0.6193,1.13562,0.86265,0.84928,0.8886,0.73733,0.78282,0.67308,1.27074,0.000577782,0.000577782,0.000577782
68,2057.05,0.67248,0.64387,1.1403,0.87702,0.81982,0.88718,0.7321,0.79528,0.64863,1.27302,0.000561279,0.000561279,0.000561279
69,2086.12,0.65718,0.61492,1.13094,0.86027,0.88154,0.90029,0.74611,0.77242,0.64977,1.25224,0.000544776,0.000544776,0.000544776
70,2115.85,0.64775,0.61253,1.12662,0.84849,0.83357,0.8824,0.73128,0.79255,0.67406,1.27417,0.000528272,0.000528272,0.000528272
71,2145.43,0.64706,0.60417,1.12908,0.84163,0.85073,0.88451,0.73195,0.77591,0.65908,1.25886,0.000511769,0.000511769,0.000511769
72,2174.86,0.63722,0.59645,1.1222,0.86903,0.84031,0.91087,0.75653,0.79593,0.65371,1.29833,0.000495266,0.000495266,0.000495266
73,2204.06,0.63182,0.60064,1.11989,0.85902,0.86161,0.90677,0.76215,0.77249,0.63034,1.26775,0.000478762,0.000478762,0.000478762
74,2233.54,0.63642,0.60696,1.11786,0.85359,0.87007,0.8944,0.74925,0.76129,0.65678,1.24696,0.000462259,0.000462259,0.000462259
75,2263.61,0.6268,0.59441,1.11377,0.82345,0.87775,0.90533,0.75006,0.77158,0.65357,1.25034,0.000445756,0.000445756,0.000445756
76,2292.56,0.61409,0.57498,1.09798,0.87312,0.85735,0.90121,0.74944,0.7611,0.65195,1.2597,0.000429253,0.000429253,0.000429253
77,2321.94,0.62638,0.57783,1.115,0.8825,0.84402,0.90952,0.75474,0.76054,0.63387,1.24761,0.000412749,0.000412749,0.000412749
78,2351.22,0.62329,0.57389,1.11473,0.88162,0.84736,0.89852,0.75782,0.76154,0.63653,1.25226,0.000396246,0.000396246,0.000396246
79,2380.72,0.62547,0.56279,1.11743,0.84344,0.86531,0.89653,0.75414,0.75879,0.63286,1.24567,0.000379743,0.000379743,0.000379743
80,2410.21,0.62644,0.56918,1.11629,0.8647,0.82979,0.89216,0.7544,0.7474,0.65543,1.23727,0.000363239,0.000363239,0.000363239
81,2439.4,0.61248,0.56379,1.09972,0.8967,0.82575,0.89028,0.74581,0.76633,0.63754,1.26157,0.000346736,0.000346736,0.000346736
82,2468.75,0.62724,0.56396,1.11535,0.85849,0.85568,0.89398,0.74476,0.74758,0.63687,1.23733,0.000330233,0.000330233,0.000330233
83,2498.35,0.61086,0.56215,1.11111,0.88633,0.83398,0.90311,0.76358,0.73903,0.64411,1.22737,0.000313729,0.000313729,0.000313729
84,2527.65,0.60398,0.54667,1.10159,0.88622,0.8624,0.90358,0.74841,0.74727,0.63285,1.2412,0.000297226,0.000297226,0.000297226
85,2557.37,0.60468,0.53772,1.09878,0.8762,0.8597,0.90064,0.75416,0.73568,0.63783,1.2187,0.000280723,0.000280723,0.000280723
86,2592.49,0.60825,0.55197,1.10184,0.87715,0.86169,0.90283,0.75206,0.74752,0.62725,1.23442,0.00026422,0.00026422,0.00026422
87,2624.41,0.59169,0.53946,1.09686,0.87421,0.8698,0.90111,0.75511,0.73515,0.61719,1.22608,0.000247716,0.000247716,0.000247716
88,2658.07,0.58935,0.52549,1.09453,0.88149,0.84806,0.89787,0.7505,0.73339,0.63919,1.22302,0.000231213,0.000231213,0.000231213
89,2690.66,0.58393,0.52064,1.08831,0.87836,0.86358,0.90601,0.76272,0.74018,0.62124,1.23209,0.00021471,0.00021471,0.00021471
90,2722.67,0.59855,0.53398,1.09473,0.87822,0.87487,0.90821,0.76822,0.73853,0.62999,1.23722,0.000198206,0.000198206,0.000198206
91,2822.08,0.46519,0.39961,1.02862,0.86584,0.85294,0.90998,0.76427,0.73405,0.61108,1.23181,0.000181703,0.000181703,0.000181703
92,2857.76,0.44241,0.365,1.00138,0.84466,0.87366,0.90777,0.76532,0.72704,0.60079,1.22324,0.0001652,0.0001652,0.0001652
93,2891.23,0.43559,0.35684,1.00675,0.86119,0.8687,0.90578,0.76888,0.72816,0.59136,1.22711,0.000148696,0.000148696,0.000148696
94,2930.6,0.42321,0.33505,0.98755,0.87224,0.86756,0.91126,0.77316,0.71603,0.59166,1.21964,0.000132193,0.000132193,0.000132193
95,2966.28,0.42724,0.34123,0.98946,0.88336,0.85651,0.91472,0.77773,0.71325,0.58367,1.21169,0.00011569,0.00011569,0.00011569
96,3004.96,0.4139,0.33506,0.97572,0.89062,0.85587,0.91061,0.77731,0.7174,0.59835,1.21944,9.91865e-05,9.91865e-05,9.91865e-05
97,3044.07,0.41603,0.33032,0.98904,0.88248,0.86652,0.91504,0.78185,0.70983,0.59422,1.21525,8.26832e-05,8.26832e-05,8.26832e-05
98,3075.93,0.41138,0.32029,0.9861,0.89286,0.86402,0.90957,0.77609,0.70816,0.60798,1.2116,6.61799e-05,6.61799e-05,6.61799e-05
99,3109,0.39969,0.31184,0.97167,0.89284,0.86648,0.91017,0.78044,0.70774,0.60023,1.21041,4.96766e-05,4.96766e-05,4.96766e-05
100,3140.88,0.39625,0.32001,0.97031,0.87786,0.86183,0.90775,0.77531,0.70536,0.60152,1.21165,3.31733e-05,3.31733e-05,3.31733e-05
